date,aqi_value
30-04-2025,46
29-04-2025,42
28-04-2025,35
27-04-2025,46
26-04-2025,48
25-04-2025,57
24-04-2025,50
23-04-2025,58
22-04-2025,58
21-04-2025,55
20-04-2025,70
19-04-2025,66
18-04-2025,61
17-04-2025,67
16-04-2025,50
15-04-2025,47
14-04-2025,72
13-04-2025,59
12-04-2025,65
11-04-2025,67
10-04-2025,58
09-04-2025,46
08-04-2025,49
07-04-2025,64
06-04-2025,54
05-04-2025,48
04-04-2025,56
03-04-2025,50
02-04-2025,68
01-04-2025,78
31-03-2025,66
30-03-2025,67
29-03-2025,66
28-03-2025,93
27-03-2025,77
26-03-2025,70
25-03-2025,66
24-03-2025,64
23-03-2025,52
22-03-2025,52
21-03-2025,46
20-03-2025,46
19-03-2025,41
18-03-2025,49
17-03-2025,55
16-03-2025,51
15-03-2025,41
14-03-2025,55
13-03-2025,77
12-03-2025,77
11-03-2025,62
10-03-2025,56
09-03-2025,84
08-03-2025,101
07-03-2025,134
06-03-2025,64
05-03-2025,54
04-03-2025,50
03-03-2025,58
02-03-2025,46
01-03-2025,65
28-02-2025,81
27-02-2025,85
26-02-2025,88
25-02-2025,70
24-02-2025,71
23-02-2025,63
22-02-2025,70
21-02-2025,68
20-02-2025,72
19-02-2025,92
18-02-2025,104
17-02-2025,82
16-02-2025,68
15-02-2025,70
14-02-2025,65
13-02-2025,83
12-02-2025,91
11-02-2025,103
10-02-2025,118
09-02-2025,104
08-02-2025,128
07-02-2025,122
06-02-2025,88
05-02-2025,87
04-02-2025,76
03-02-2025,63
02-02-2025,60
01-02-2025,56
31-01-2025,69
30-01-2025,106
29-01-2025,135
28-01-2025,107
27-01-2025,73
26-01-2025,67
25-01-2025,76
24-01-2025,62
23-01-2025,93
22-01-2025,110
21-01-2025,112
20-01-2025,83
19-01-2025,61
18-01-2025,108
17-01-2025,122
16-01-2025,70
15-01-2025,36
14-01-2025,50
13-01-2025,99
12-01-2025,79
11-01-2025,73
10-01-2025,121
09-01-2025,120
08-01-2025,121
07-01-2025,144
06-01-2025,151
05-01-2025,152
04-01-2025,152
03-01-2025,114
02-01-2025,113
31-12-2024,104
30-12-2024,96
29-12-2024,79
28-12-2024,55
27-12-2024,36
26-12-2024,41
25-12-2024,44
24-12-2024,39
23-12-2024,46
22-12-2024,41
21-12-2024,50
20-12-2024,47
19-12-2024,85
18-12-2024,120
17-12-2024,97
16-12-2024,99
15-12-2024,81
14-12-2024,96
13-12-2024,80
12-12-2024,46
11-12-2024,76
10-12-2024,89
09-12-2024,75
08-12-2024,49
07-12-2024,44
06-12-2024,56
05-12-2024,38
04-12-2024,45
03-12-2024,53
02-12-2024,40
01-12-2024,24
30-11-2024,64
29-11-2024,103
28-11-2024,134
27-11-2024,133
26-11-2024,129
25-11-2024,114
24-11-2024,88
23-11-2024,138
22-11-2024,134
21-11-2024,114
20-11-2024,112
19-11-2024,126
18-11-2024,124
17-11-2024,124
16-11-2024,53
15-11-2024,45
14-11-2024,44
13-11-2024,42
12-11-2024,60
11-11-2024,99
10-11-2024,85
09-11-2024,57
08-11-2024,50
